Venture ID,Sector,Status,Repo Count,Vercel URL,GitHub Repos
BW-001,BW,CODE_AND_DEPLOYMENT,6,https://bw-001-up-next-web.vercel.app,"https://github.com/Worldwidebro/bw-001-up-next-code, https://github.com/Worldwidebro/bw-001-up-next-business, https://github.com/Worldwidebro/bw-001-lash-extension-studio, https://github.com/Worldwidebro/bw-001-contracts, https://github.com/Worldwidebro/bw-001-up-next, https://github.com/Worldwidebro/bw-001-up-next-web"
COMM-001,COMM,CODE_AND_DEPLOYMENT,1,https://comm-001-luminary-worldwide-events.vercel.app,"https://github.com/Worldwidebro/comm-001-luminary-worldwide-events"
COMM-002,COMM,CODE_AND_DEPLOYMENT,1,https://comm-002-brotherhood-coaching-netwo.vercel.app,"https://github.com/Worldwidebro/comm-002-brotherhood-coaching-network"
COMM-003,COMM,CODE_AND_DEPLOYMENT,1,https://comm-003-ace-senior-care-connect.vercel.app,"https://github.com/Worldwidebro/comm-003-ace-senior-care-connect"
COMM-004,COMM,CODE_AND_DEPLOYMENT,1,https://comm-004-community-outreach-nonprof.vercel.app,"https://github.com/Worldwidebro/comm-004-community-outreach-nonprofit"
COMM-005,COMM,CODE_AND_DEPLOYMENT,1,https://comm-005-ace-food-security-ai.vercel.app,"https://github.com/Worldwidebro/comm-005-ace-food-security-ai"
COMM-006,COMM,CODE_AND_DEPLOYMENT,1,https://comm-006-community-technology-acces.vercel.app,"https://github.com/Worldwidebro/comm-006-community-technology-access-ai"
COMM-007,COMM,CODE_AND_DEPLOYMENT,1,https://comm-007-youth-leadership-ai.vercel.app,"https://github.com/Worldwidebro/comm-007-youth-leadership-ai"
COMM-008,COMM,CODE_AND_DEPLOYMENT,1,https://comm-008-community-fundraising-ai.vercel.app,"https://github.com/Worldwidebro/comm-008-community-fundraising-ai"
COMM-009,COMM,CODE_AND_DEPLOYMENT,1,https://comm-009-volunteer-hub-ai.vercel.app,"https://github.com/Worldwidebro/comm-009-volunteer-hub-ai"
COMM-010,COMM,CODE_AND_DEPLOYMENT,1,https://comm-010-disaster-relief-ai.vercel.app,"https://github.com/Worldwidebro/comm-010-disaster-relief-ai"
COMM-011,COMM,CODE_AND_DEPLOYMENT,1,https://comm-011-indigenous-creator-hub.vercel.app,"https://github.com/Worldwidebro/comm-011-indigenous-creator-hub"
COMM-012,COMM,CODE_AND_DEPLOYMENT,1,https://comm-012-black-art-museum-ai.vercel.app,"https://github.com/Worldwidebro/comm-012-black-art-museum-ai"
COMM-013,COMM,CODE_AND_DEPLOYMENT,1,https://comm-013-women-s-empowerment-networ.vercel.app,"https://github.com/Worldwidebro/comm-013-women-s-empowerment-network"
COMM-014,COMM,CODE_AND_DEPLOYMENT,1,https://comm-014-veterans-support-ai-worldwidebros-projects.vercel.app,"https://github.com/Worldwidebro/comm-014-veterans-support-ai"
COMM-015,COMM,CODE_AND_DEPLOYMENT,1,https://comm-015-youth-mentorship-program.vercel.app,"https://github.com/Worldwidebro/comm-015-youth-mentorship-program"
COMM-016,COMM,CODE_AND_DEPLOYMENT,1,https://comm-016-community-health-ai-worldwidebros-projects.vercel.app,"https://github.com/Worldwidebro/comm-016-community-health-ai"
COMM-017,COMM,CODE_AND_DEPLOYMENT,1,https://comm-017-local-business-directory.vercel.app,"https://github.com/Worldwidebro/comm-017-local-business-directory"
COMM-018,COMM,CODE_AND_DEPLOYMENT,1,https://comm-018-neighborhood-watch-ai.vercel.app,"https://github.com/Worldwidebro/comm-018-neighborhood-watch-ai"
COMM-019,COMM,CODE_AND_DEPLOYMENT,1,https://comm-019-community-garden-ai.vercel.app,"https://github.com/Worldwidebro/comm-019-community-garden-ai"
COMM-020,COMM,CODE_AND_DEPLOYMENT,1,https://comm-020-public-transportation-ai.vercel.app,"https://github.com/Worldwidebro/comm-020-public-transportation-ai"
COMM-021,COMM,CODE_AND_DEPLOYMENT,1,https://comm-021-housing-assistance-ai.vercel.app,"https://github.com/Worldwidebro/comm-021-housing-assistance-ai"
COMM-022,COMM,CODE_AND_DEPLOYMENT,1,https://comm-022-job-training-center.vercel.app,"https://github.com/Worldwidebro/comm-022-job-training-center"
COMM-023,COMM,CODE_AND_DEPLOYMENT,1,https://comm-023-elder-companion-ai.vercel.app,"https://github.com/Worldwidebro/comm-023-elder-companion-ai"
COMM-024,COMM,CODE_AND_DEPLOYMENT,1,https://comm-024-youth-sports-ai.vercel.app,"https://github.com/Worldwidebro/comm-024-youth-sports-ai"
COMM-025,COMM,CODE_AND_DEPLOYMENT,1,https://comm-025-community-legal-aid.vercel.app,"https://github.com/Worldwidebro/comm-025-community-legal-aid"
COMM-026,COMM,CODE_AND_DEPLOYMENT,1,https://comm-026-public-education-ai.vercel.app,"https://github.com/Worldwidebro/comm-026-public-education-ai"
COMM-027,COMM,CODE_AND_DEPLOYMENT,1,https://comm-027-local-government-ai.vercel.app,"https://github.com/Worldwidebro/comm-027-local-government-ai"
COMM-028,COMM,CODE_AND_DEPLOYMENT,1,https://comm-028-public-safety-ai.vercel.app,"https://github.com/Worldwidebro/comm-028-public-safety-ai"
COMM-029,COMM,CODE_AND_DEPLOYMENT,1,https://comm-029-community-wellness-ai.vercel.app,"https://github.com/Worldwidebro/comm-029-community-wellness-ai"
COMM-030,COMM,CODE_AND_DEPLOYMENT,1,https://comm-030-cultural-exchange-ai.vercel.app,"https://github.com/Worldwidebro/comm-030-cultural-exchange-ai"
COMM-031,COMM,CODE_AND_DEPLOYMENT,1,https://comm-031-community-investment-ai.vercel.app,"https://github.com/Worldwidebro/comm-031-community-investment-ai"
COMM-032,COMM,CODE_AND_DEPLOYMENT,1,https://comm-032-public-health-ai.vercel.app,"https://github.com/Worldwidebro/comm-032-public-health-ai"
COMM-033,COMM,CODE_AND_DEPLOYMENT,1,https://comm-033-youth-innovation-hub.vercel.app,"https://github.com/Worldwidebro/comm-033-youth-innovation-hub"
COMM-034,COMM,CODE_AND_DEPLOYMENT,1,https://comm-034-senior-tech-support.vercel.app,"https://github.com/Worldwidebro/comm-034-senior-tech-support"
COMM-035,COMM,CODE_AND_DEPLOYMENT,1,https://comm-035-community-arts-ai.vercel.app,"https://github.com/Worldwidebro/comm-035-community-arts-ai"
COMM-036,COMM,CODE_AND_DEPLOYMENT,1,https://comm-036-public-infrastructure-ai.vercel.app,"https://github.com/Worldwidebro/comm-036-public-infrastructure-ai"
COMM-037,COMM,CODE_AND_DEPLOYMENT,1,https://comm-037-neighborhood-development-a.vercel.app,"https://github.com/Worldwidebro/comm-037-neighborhood-development-ai"
COMM-038,COMM,CODE_AND_DEPLOYMENT,1,https://comm-038-community-policing-ai.vercel.app,"https://github.com/Worldwidebro/comm-038-community-policing-ai"
COMM-039,COMM,CODE_AND_DEPLOYMENT,1,https://comm-039-public-space-ai.vercel.app,"https://github.com/Worldwidebro/comm-039-public-space-ai"
COMM-040,COMM,CODE_AND_DEPLOYMENT,1,https://comm-040-community-recycling-ai.vercel.app,"https://github.com/Worldwidebro/comm-040-community-recycling-ai"
COMM-041,COMM,CODE_AND_DEPLOYMENT,1,https://comm-041-public-wi-fi-ai.vercel.app,"https://github.com/Worldwidebro/comm-041-public-wi-fi-ai"
COMM-042,COMM,CODE_AND_DEPLOYMENT,1,https://comm-042-community-energy-ai.vercel.app,"https://github.com/Worldwidebro/comm-042-community-energy-ai"
COMM-043,COMM,CODE_AND_DEPLOYMENT,1,https://comm-043-local-food-network-ai.vercel.app,"https://github.com/Worldwidebro/comm-043-local-food-network-ai"
COMM-044,COMM,CODE_AND_DEPLOYMENT,1,https://comm-044-community-volunteering-ai.vercel.app,"https://github.com/Worldwidebro/comm-044-community-volunteering-ai"
COMM-045,COMM,CODE_AND_DEPLOYMENT,1,https://comm-045-public-childcare-ai.vercel.app,"https://github.com/Worldwidebro/comm-045-public-childcare-ai"
COMM-046,COMM,CODE_AND_DEPLOYMENT,1,https://comm-046-community-pet-care-ai.vercel.app,"https://github.com/Worldwidebro/comm-046-community-pet-care-ai"
COMM-047,COMM,CODE_AND_DEPLOYMENT,1,https://comm-047-public-fitness-ai.vercel.app,"https://github.com/Worldwidebro/comm-047-public-fitness-ai"
