venture_id,name,sector,development_stage,entity_status,has_repo,has_revenue_model,capability_coverage_pct,readiness_pct,readiness_tier
EDU-017-AI-Coding-Tutor,Ai Coding Tutor,education,growth,pending_formation,True,True,10.0,55.0,Building / MVP
FIN-036-Arbitrage-Nexus-Platform,Arbitrage Nexus Platform,financial,growth,pending_formation,True,True,0.0,51.5,Building / MVP
EC-044-Live-Commerce-Platform,Live Commerce Platform,e-commerce,growth,pending_formation,True,True,0.0,51.5,Building / MVP
EC-046-3D-Product-Viewer,3D Product Viewer,e-commerce,growth,pending_formation,True,True,0.0,51.5,Building / MVP
FS-013-Fitness-Apparel,Fitness Apparel,fitness-sports,mvp,pending_formation,True,True,11.1,46.6,Building / MVP
FH-001-Personal-Chef-Service,Personal Chef Service,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FH-002-Meal-Prep-Delivery,Meal Prep Delivery,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FH-005-Corporate-Lunch-Service,Corporate Lunch Service,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FH-006-Healthy-Meal-Prep-for-Gyms,Healthy Meal Prep For Gyms,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FH-008-Athlete-Nutrition-Service,Athlete Nutrition Service,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FH-011-Sauce-or-Seasoning-Brand,Sauce Or Seasoning Brand,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FH-012-Protein-Snacks-Brand,Protein Snacks Brand,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FH-016-Recipe-App,Recipe App,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FH-017-Cooking-Content-Brand,Cooking Content Brand,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FH-018-Food-Influencer-Brand,Food Influencer Brand,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FH-019-Cooking-Course-Platform,Cooking Course Platform,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FH-024-Juice-Bar,Juice Bar,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FH-030-Organic-Food-Brand,Organic Food Brand,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FH-031-Vegan-Food-Company,Vegan Food Company,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FH-032-Keto-Meal-Service,Keto Meal Service,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FH-033-Food-Photography-Service,Food Photography Service,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FH-034-Restaurant-Consulting,Restaurant Consulting,food-hospitality,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
FS-003-Personal-Training-Studio,Personal Training Studio,fitness-sports,mvp,pending_formation,True,True,0.0,42.8,Building / MVP
