venture_id,venture_name,sector,stage,required_capabilities,capability_count
3b1b67db-86a0-43f5-ab28-c3c8f2e30747,?,fintech,?,api | authentication | database | monitoring | payment | security,6
f9de7000-12db-42f4-bf35-6dda7e18e11d,?,fintech,?,api | authentication | database | monitoring | payment | security,6
48078344-8da1-4ee7-8dba-049b8b3e0ec6,?,fintech,?,api | authentication | database | monitoring | payment | security,6
6a871b02-00ea-42b9-b16d-c14212aa34a3,?,fintech,?,api | authentication | database | monitoring | payment | security,6
2d717fcc-a5b1-40db-90c5-0c0c86f2be1e,?,fintech,?,api | authentication | database | monitoring | payment | security,6
e0e532a2-b8af-43df-98af-90f00445b67c,?,fintech,?,api | authentication | database | monitoring | payment | security,6
7e0ee192-1311-497f-9d6a-f6993b5cc251,?,fintech,?,api | authentication | database | monitoring | payment | security,6
6ecd4ac6-2f01-42c2-8719-7ed67242746e,?,fintech,?,api | authentication | database | monitoring | payment | security,6
2b8ec933-7b91-4aa0-b80a-788d979179e1,?,fintech,?,api | authentication | database | monitoring | payment | security,6
bb1e8456-d7f0-44fa-a8c3-7fc7cf06363a,?,fintech,?,api | authentication | database | monitoring | payment | security,6
146ed62c-d9e8-4285-b2c8-8b852dbfa76b,?,fintech,?,api | authentication | database | monitoring | payment | security,6
15572af9-e058-492c-b9e9-0938b4d07fb7,?,fintech,?,api | authentication | database | monitoring | payment | security,6
a4edc8b5-1635-4e87-85eb-bfcc9e168697,?,fintech,?,api | authentication | database | monitoring | payment | security,6
e8306358-7f14-4b3a-85e2-38c42a2025c5,?,fintech,?,api | authentication | database | monitoring | payment | security,6
01f74934-8d29-4292-86d9-4a5c6af217ed,?,fintech,?,api | authentication | database | monitoring | payment | security,6
dd78dc7f-ab6a-4c1f-9405-b0cbd827ae0d,?,fintech,?,api | authentication | database | monitoring | payment | security,6
b13db59f-e664-4315-9af3-5452a3c9f95c,?,fintech,?,api | authentication | database | monitoring | payment | security,6
3d54893a-074f-4fbe-834c-e5290d6a81dd,?,fintech,?,api | authentication | database | monitoring | payment | security,6
358c0fb7-60f0-49f0-af22-165ab5d8088a,?,fintech,?,api | authentication | database | monitoring | payment | security,6
d0ac1d6c-7634-49ef-b53b-1a9d5cad627f,?,fintech,?,api | authentication | database | monitoring | payment | security,6
987c8140-a75c-4ba6-a401-fe9f9835b963,?,fintech,?,api | authentication | database | monitoring | payment | security,6
dccea2da-3d6e-4869-8e37-65d90a529fa4,?,fintech,?,api | authentication | database | monitoring | payment | security,6
60598b62-cd1d-4be5-8021-3cb3bf7ff370,?,fintech,?,api | authentication | database | monitoring | payment | security,6
