venture_id,live_url
COMM-001-Luminary-Worldwide-Events,https://comm-001-luminary-worldwide-events.vercel.app
COMM-002-Brotherhood-Coaching-Network,https://comm-002-brotherhood-coaching-netwo.vercel.app
COMM-003-Ace-Senior-Care-Connect,https://comm-003-ace-senior-care-connect.vercel.app
COMM-004-Community-Outreach-Nonprofit,https://comm-004-community-outreach-nonprof.vercel.app
COMM-005-Ace-Food-Security-AI,https://comm-005-ace-food-security-ai.vercel.app
COMM-006-Community-Technology-Access-AI,https://comm-006-community-technology-acces.vercel.app
COMM-007-Youth-Leadership-AI,https://comm-007-youth-leadership-ai.vercel.app
COMM-008-Community-Fundraising-AI,https://comm-008-community-fundraising-ai.vercel.app
COMM-009-Volunteer-Hub-AI,https://comm-009-volunteer-hub-ai.vercel.app
COMM-010-Disaster-Relief-AI,https://comm-010-disaster-relief-ai.vercel.app
COMM-011-Indigenous-Creator-Hub,https://comm-011-indigenous-creator-hub.vercel.app
COMM-012-Black-Art-Museum-AI,https://comm-012-black-art-museum-ai.vercel.app
COMM-013-Women-s-Empowerment-Network,https://comm-013-women-s-empowerment-networ.vercel.app
COMM-015-Youth-Mentorship-Program,https://comm-015-youth-mentorship-program.vercel.app
CON-001-ACE-CONSTRUCTION,https://con-001-ace-construction.vercel.app
OPS-001-VENTURE-STAFFING,https://ops-staff-001-staffing.vercel.app
ET-011-Landing-Kit-Template-Demo,https://edu-landing-kit-template.vercel.app
FIN-001-GenixBank-Lite,https://genixbank-hero-site.vercel.app
FIN-006-Tax-Prep-Filing-Services,https://fin-006-tax-prep-filing-services.vercel.app
FIN-009-Crypto-Tax-Optimizer,https://fin-009-crypto-tax-optimizer.vercel.app
FIN-021-Tax-Deduction-Finder,https://fin-021-tax-deduction-finder.vercel.app
FIN-033-AI-Tax-Preparation-Service,https://fin-033-ai-tax-preparation-service.vercel.app
MC-006-Video-Production-Company,https://mc-006-video-production-company.vercel.app
COMM-014-Veterans-Support-AI,https://comm-014-veterans-support-ai.vercel.app
COMM-023-Elder-Companion-AI,https://comm-023-elder-companion-ai.vercel.app
COMM-024-Youth-Sports-AI,https://comm-024-youth-sports-ai.vercel.app
COMM-025-Community-Legal-Aid,https://comm-025-community-legal-aid.vercel.app
COMM-026-Public-Education-AI,https://comm-026-public-education-ai.vercel.app
COMM-027-Local-Government-AI,https://comm-027-local-government-ai.vercel.app
COMM-028-Public-Safety-AI,https://comm-028-public-safety-ai.vercel.app
COMM-029-Community-Wellness-AI,https://comm-029-community-wellness-ai.vercel.app
COMM-030-Cultural-Exchange-AI,https://comm-030-cultural-exchange-ai.vercel.app
COMM-031-Community-Investment-AI,https://comm-031-community-investment-ai.vercel.app
COMM-032-Public-Health-AI,https://comm-032-public-health-ai.vercel.app
COMM-033-Youth-Innovation-Hub,https://comm-033-youth-innovation-hub.vercel.app
COMM-034-Senior-Tech-Support,https://comm-034-senior-tech-support.vercel.app
COMM-035-Community-Arts-AI,https://comm-035-community-arts-ai.vercel.app
COMM-036-Public-Infrastructure-AI,https://comm-036-public-infrastructure-ai.vercel.app
COMM-037-Neighborhood-Development-AI,https://comm-037-neighborhood-development-a.vercel.app
COMM-038-Community-Policing-AI,https://comm-038-community-policing-ai.vercel.app
COMM-039-Public-Space-AI,https://comm-039-public-space-ai.vercel.app
COMM-040-Community-Recycling-AI,https://comm-040-community-recycling-ai.vercel.app
COMM-041-Public-Wi-Fi-AI,https://comm-041-public-wi-fi-ai.vercel.app
COMM-042-Community-Energy-AI,https://comm-042-community-energy-ai.vercel.app
COMM-043-Local-Food-Network-AI,https://comm-043-local-food-network-ai.vercel.app
COMM-044-Community-Volunteering-AI,https://comm-044-community-volunteering-ai.vercel.app
COMM-045-Public-Childcare-AI,https://comm-045-public-childcare-ai.vercel.app
COMM-046-Community-Pet-Care-AI,https://comm-046-community-pet-care-ai.vercel.app
COMM-047-Public-Fitness-AI,https://comm-047-public-fitness-ai.vercel.app
COMM-048-Community-Transportation-AI,https://comm-048-community-transportation-a.vercel.app
COMM-049-Public-Event-AI,https://comm-049-public-event-ai.vercel.app
COMM-050-Community-Cultural-AI,https://comm-050-community-cultural-ai.vercel.app
EC-111-Miss-Toys,https://ec-111-miss-toys.vercel.app
EC-112-Cosmic-Kitty,https://ec-112-cosmic-kitty.vercel.app
TECH-062-IZA-OS,https://tech-062-iza-os.vercel.app
